,upwind_dist_km,site_Dd18O,site_DW,dist_inland_km,site_region
1,-2900,-0.000241104,-3.97E-05,100,coast
2,-1500,-0.004005269,-0.003192093,1500,middle
3,0,0.082961042,0.346102654,3000,inland
4,-2821.444065,0.000294602,5.43E-05,100,coast
5,-1421.444065,0.004897257,0.004365191,1500,middle
6,78.55593539,-0.101949405,-0.474598536,3000,inland
7,-2742.090593,-0.000359978,-7.43E-05,100,coast
8,-1342.090593,-0.005988551,-0.005970233,1500,middle
9,157.9094066,-0.281463902,-1.245271474,3000,inland
10,-2661.923226,0.000439875,0.000101556,100,coast
11,-1261.923226,0.0073238,0.008165406,1500,middle
12,238.0767738,-0.455747272,-1.969834131,3000,inland
13,-2580.925094,-0.000537521,-0.000138914,100,coast
14,-1180.925094,-0.00895809,-0.011169873,1500,middle
15,319.0749056,-0.624986163,-2.65181767,3000,inland
16,-2499.078799,0.000656866,0.00019003,100,coast
17,-1099.078799,0.01095837,0.015278714,1500,middle
18,400.9212009,-0.789322859,-3.294405211,3000,inland
19,-2416.366389,0.000656866,0.00019003,100,coast
20,-1016.366389,0.01095837,0.015278714,1500,middle
21,483.6336106,-0.789322859,-3.294405211,3000,inland
22,-2332.769338,-0.000802741,-0.000259978,100,coast
23,-932.7693382,-0.013408104,-0.020905135,1500,middle
24,567.2306618,-0.948936723,-3.900483854,3000,inland
25,-2248.268518,0.000981057,0.000355701,100,coast
26,-848.2685176,0.01640734,0.0285976,1500,middle
27,651.7314824,-1.103945875,-4.472665014,3000,inland
28,-2162.844172,-0.001199043,-0.000486712,100,coast
29,-762.8441725,-0.020083875,-0.039139458,1500,middle
30,737.1558275,-1.254527705,-5.013333866,3000,inland
31,-2076.475893,0.001465551,0.00066603,100,coast
32,-676.4758928,0.024585609,0.053542882,1500,middle
33,823.5241072,-1.400773102,-5.524650638,3000,inland
34,-1989.142585,-0.001791411,-0.000911497,100,coast
35,-589.1425845,-0.030112517,-0.073307474,1500,middle
36,910.8574155,-1.542864513,-6.008606035,3000,inland
37,-1900.822438,-0.001791411,-0.000911497,100,coast
38,-500.8224383,-0.030112517,-0.073307474,1500,middle
39,999.1775617,-1.542864513,-6.008606035,3000,inland
40,-1811.492897,0.002189891,0.001247534,100,coast
41,-411.4928971,0.036876663,0.10027487,1500,middle
42,1088.507103,-1.680860355,-6.466998629,3000,inland
43,-1721.130622,-0.002677226,-0.001707619,100,coast
44,-321.1306215,-0.045205249,-0.137365469,1500,middle
45,1178.869378,-1.81495758,-6.90150795,3000,inland
46,-1629.711453,0.003273334,0.00233757,100,coast
47,-229.7114533,0.055376923,0.187835096,1500,middle
48,1270.288547,-1.945173792,-7.313637008,3000,inland
49,-1537.210376,-0.004002576,-0.003200242,100,coast
50,-137.2103764,-0.067974593,-0.257540302,1500,middle
51,1362.789624,-2.071733333,-7.70482115,3000,inland
52,-1443.601476,0.004894904,0.004381611,100,coast
53,-43.60147575,0.083265967,0.351891016,1500,middle
54,1456.398524,-2.194600314,-8.076314969,3000,inland
55,-1348.857894,-0.005986912,-0.005999776,100,coast
56,51.14210582,-0.102442391,-0.483200756,1500,middle
57,1551.142106,-2.314044201,-8.429366853,3000,inland
58,-1252.951786,0.00732375,0.008216068,100,coast
59,147.0482143,-0.282586694,-1.267089837,1500,middle
60,1647.048214,-2.429956997,-8.76501302,3000,inland
61,-1139.553427,-0.008960449,-0.011252581,100,coast
62,260.4465732,-0.457611063,-2.004015613,1500,middle
63,1760.446573,-2.542677643,-9.08436876,3000,inland
64,-1041.027965,0.010965303,0.01541198,100,coast
65,358.9720346,-0.627367067,-2.69732472,1500,middle
66,1858.972035,-2.651999543,-9.388263874,3000,inland
67,-941.2446982,-0.013421123,-0.021112482,100,coast
68,458.7553018,-0.7924059,-3.350645745,1500,middle
69,1958.755302,-2.758364179,-9.677738736,3000,inland
70,-840.1710944,0.016431739,0.02892145,100,coast
71,559.8289056,-0.952415624,-3.966466312,1500,middle
72,2059.828906,-2.861429833,-9.953405821,3000,inland
73,-737.7733446,-0.020121715,-0.03962803,100,coast
74,662.2266554,-1.108110356,-4.548079347,1500,middle
75,2162.226655,-2.961784359,-10.21630402,3000,inland
76,-634.016293,0.024650154,0.0542939,100,coast
77,765.983707,-1.258951739,-5.097121762,1500,middle
78,2265.983707,-3.058902597,-10.46678414,3000,inland
79,-528.8633648,-0.030203878,-0.074413071,100,coast
80,871.1366352,-1.405893827,-5.616858351,1500,middle
81,2371.136635,-3.153574419,-10.70598963,3000,inland
82,-422.2764888,0.037029755,0.101965177,100,coast
83,977.7235112,-1.548084663,-6.107945429,1500,middle
84,2477.723511,-3.245031072,-10.93391151,3000,inland
85,-314.216015,-0.045405578,-0.139794386,100,coast
86,1085.783985,-1.686821655,-6.574028504,1500,middle
87,2585.783985,-3.334329705,-11.15196564,3000,inland
88,-204.6406254,0.055722299,0.191566942,100,coast
89,1195.359375,-1.820821993,-7.014449852,1500,middle
90,2695.359375,-3.42039063,-11.35959411,3000,inland
91,-93.50723983,0.084031406,0.360040768,100,coast
92,1306.49276,-2.078069369,-7.829600568,1500,middle
93,2806.49276,-3.585516274,-11.74802403,3000,inland
94,19.22908634,-0.103221408,-0.494111631,100,coast
95,1419.229086,-2.201862589,-8.208335345,1500,middle
96,2919.229086,-3.664888947,-11.93037072,3000,inland
97,133.6152709,-0.26219856,-1.31260568,100,coast
98,1533.615271,-2.298071773,-8.57583443,1500,middle
99,3033.615271,-3.716977748,-12.10847534,3000,inland
100,249.7003221,-0.413248254,-2.080722074,100,coast
101,1649.700322,-2.3882981,-8.924865172,1500,middle
102,3149.700322,-3.764283643,-12.2787176,3000,inland
103,367.535465,-0.556642895,-2.802436781,100,coast
104,1767.535465,-2.472728575,-9.256540574,1500,middle
105,3267.535465,-3.806958475,-12.44150062,3000,inland
106,487.174277,-0.692609455,-3.48132687,100,coast
107,1887.174277,-2.551509809,-9.571891142,1500,middle
108,3387.174277,-3.845116118,-12.59720459,3000,inland
