"","upwind_dist_km","site_Dd18O","site_DW","site_DP","dist_inland_km","M_factorChange","site_region"
"1",-2900,-0.000415256558250476,-5.6237688468741e-05,-1.62665934345105e-10,100,4,"coast"
"2",-1500,-0.00691686820164517,-0.00461197829339,-1.32338873257341e-08,1500,4,"middle"
"3",0,0.145351218522993,0.508062939275298,1.45890307324565e-06,3000,4,"inland"
"4",-2900,-0.000300620005000418,-3.92501499817399e-05,-1.13529985746089e-10,100,3.10344827586207,"coast"
"5",-1500,-0.00500576946238507,-0.00321883155757519,-9.23650579988161e-09,1500,3.10344827586207,"middle"
"6",0,0.105133014889125,0.354835450867746,1.01651762866897e-06,3000,3.10344827586207,"inland"
"7",-2900,-0.000226735529906819,-2.83901151263422e-05,-8.2117645406536e-11,100,2.53521126760563,"coast"
"8",-1500,-0.00377414526553377,-0.00232821055333687,-6.68094108261332e-09,1500,2.53521126760563,"middle"
"9",0,0.0791883923149106,0.256770285436346,7.344766096757e-07,3000,2.53521126760563,"inland"
"10",-2900,-0.000174554021792339,-2.0851471255412e-05,-6.03123274318441e-11,100,2.14285714285714,"coast"
"11",-1500,-0.00290444617279118,-0.0017099780393508,-4.90693199034541e-09,1500,2.14285714285714,"middle"
"12",0,0.0608644000048564,0.188646523896452,5.39046984641813e-07,3000,2.14285714285714,"inland"
"13",-2900,-0.000135138335743967,-1.53138290102106e-05,-4.42948478731556e-11,100,1.85567010309278,"coast"
"14",-1500,-0.00224768555934229,-0.00125584687620517,-3.60378787665002e-09,1500,1.85567010309278,"middle"
"15",0,0.0470332384431282,0.138578329118637,3.95674566581893e-07,3000,1.85567010309278,"inland"
"16",-2900,-0.000103705963705458,-1.10756084339414e-05,-3.20359083296026e-11,100,1.63636363636364,"coast"
"17",-1500,-0.001724142323134,-0.000908280049735311,-2.60642132423244e-09,1500,1.63636363636364,"middle"
"18",0,0.0360194576980444,0.100243347490199,2.86049838475418e-07,3000,1.63636363636364,"inland"
"19",-2900,-7.74425156224723e-05,-7.73337031745314e-06,-2.23685729498508e-11,100,1.46341463414634,"coast"
"20",-1500,-0.00128691285850024,-0.000634191513128712,-1.8198982038839e-09,1500,1.46341463414634,"middle"
"21",0,0.0268372091085656,0.0700030982340891,1.99664488280307e-07,3000,1.46341463414634,"inland"
"22",-2900,-5.4618767508785e-05,-5.05032974018604e-06,-1.46079483077477e-11,100,1.32352941176471,"coast"
"23",-1500,-0.000907190957244453,-0.000414162621538594,-1.18849959143311e-09,1500,1.32352941176471,"middle"
"24",0,0.0188816663115876,0.0457211214165483,1.30358006170628e-07,3000,1.32352941176471,"inland"
"25",-2900,-3.43567311267279e-05,-2.90843238559546e-06,-8.41256581675951e-12,100,1.20805369127517,"coast"
"26",-1500,-0.000570352927997675,-0.000238511749422798,-6.84445832509781e-10,1500,1.20805369127517,"middle"
"27",0,0.0118460856871616,0.0263326797824845,7.50560858747294e-08,3000,1.20805369127517,"inland"
"28",-2900,-1.68967618785487e-05,-1.29723758135469e-06,-3.75222640772947e-12,100,1.11111111111111,"coast"
"29",-1500,-0.000280354948367645,-0.000106382467237154,-3.05281329166971e-10,1500,1.11111111111111,"middle"
"30",0,0.00581042857239478,0.0117458635797902,3.34717169926744e-08,3000,1.11111111111111,"inland"
"31",-2821.44406461226,0.000507343847155894,7.69827336171147e-05,2.22670846069747e-10,100,4,"coast"
"32",-1421.44406461226,0.00845981106945004,0.00631292560972696,1.81177226284582e-08,1500,4,"middle"
"33",78.5559353877397,-0.179546139897568,-0.699393926931414,0.000130466276321742,3000,4,"inland"
"34",-2821.44406461226,0.000367292697256438,5.373360298222e-05,1.55423197437652e-10,100,3.10344827586207,"coast"
"35",-1421.44406461226,0.00612230664265301,0.0044064335233287,1.26458335654591e-08,1500,3.10344827586207,"middle"
"36",78.5559353877397,-0.12961580177473,-0.48767870935318,9.27249747920662e-05,3000,3.10344827586207,"inland"
"37",-2821.44406461226,0.000277031347861723,3.88705038218973e-05,1.12432003228466e-10,100,2.53521126760563,"coast"
"38",-1421.44406461226,0.00461594155320988,0.00318760085409764,9.14778727503866e-09,1500,2.53521126760563,"middle"
"39",78.5559353877397,-0.0975023286298171,-0.352556325144697,6.82665597500935e-05,3000,2.53521126760563,"inland"
"40",-2821.44406461226,0.000213286561856485,2.85530437551529e-05,8.25889836256416e-11,100,2.14285714285714,"coast"
"41",-1421.44406461226,0.00355230524917705,0.00234152022850509,6.71961517000372e-09,1500,2.14285714285714,"middle"
"42",78.5559353877397,-0.0748701922665962,-0.25886184060154,5.11309805409718e-05,3000,2.14285714285714,"inland"
"43",-2821.44406461226,0.000165139797503322,2.09741502814609e-05,6.06672118479688e-11,100,1.85567010309278,"coast"
"44",-1421.44406461226,0.00274917001441555,0.00172001072859018,4.93598128841442e-09,1500,1.85567010309278,"middle"
"45",78.5559353877397,-0.0578159084629881,-0.190089972083712,3.84588323156189e-05,3000,1.85567010309278,"inland"
"46",-2821.44406461226,0.000126748539885924,1.51736248454881e-05,4.38893313578774e-11,100,1.63636363636364,"coast"
"47",-1421.44406461226,0.0021090329103135,0.00124433437905225,3.57088843019757e-09,1500,1.63636363636364,"middle"
"48",78.5559353877397,-0.0442547710052255,-0.137485499972151,2.87075253823931e-05,3000,1.63636363636364,"inland"
"49",-2821.44406461226,9.46745969399032e-05,1.05992356651541e-05,3.06580226361471e-11,100,1.46341463414634,"coast"
"50",-1421.44406461226,0.00157452979554495,0.000869206722619253,2.49436359472255e-09,1500,1.46341463414634,"middle"
"51",78.5559353877397,-0.0329630306056261,-0.0960191403919808,2.09715163760431e-05,3000,1.46341463414634,"inland"
"52",-2821.44406461226,6.68042366980259e-05,6.92662862888938e-06,2.00350980109672e-11,100,1.32352941176471,"coast"
"53",-1421.44406461226,0.0011104107537907,0.000568029709363316,1.63006802314806e-09,1500,1.32352941176471,"middle"
"54",78.5559353877397,-0.0231908006333992,-0.0627390160568524,1.4683836806976e-05,3000,1.32352941176471,"inland"
"55",-2821.44406461226,4.20586111493648e-05,3.99346377122356e-06,1.15509923742413e-11,100,1.20805369127517,"coast"
"56",-1421.44406461226,0.000698687930067443,0.000327491015006842,9.39793559305276e-10,1500,1.20805369127517,"middle"
"57",78.5559353877397,-0.0145555339867709,-0.0361669430093983,9.47038882365404e-06,3000,1.20805369127517,"inland"
"58",-2821.44406461226,2.07148951325564e-05,1.78422857999294e-06,5.16083560570891e-12,100,1.11111111111111,"coast"
"59",-1421.44406461226,0.000343919840717355,0.000146318924478805,4.19886941920499e-10,1500,1.11111111111111,"middle"
"60",78.5559353877397,-0.00714686747482762,-0.0161574247549012,5.07296919545392e-06,3000,1.11111111111111,"inland"
"61",-2742.09059340643,-0.000619874985230418,-0.000105390418411844,-3.04838597202058e-10,100,4,"coast"
"62",-1342.09059340643,-0.0103488164415744,-0.00864309341324798,-2.47994777856551e-08,1500,4,"middle"
"63",157.909406593566,-0.490619085716681,-1.79309818719707,0.000118481642360108,3000,4,"inland"
"64",-2742.09059340643,-0.000448767789484883,-7.35686170116878e-05,-2.12795102278753e-10,100,3.10344827586207,"coast"
"65",-1342.09059340643,-0.00748915885495638,-0.00603330535548707,-1.73119511444984e-08,1500,3.10344827586207,"middle"
"66",157.909406593566,-0.356133674321413,-1.26755480259786,8.60161238493124e-05,3000,3.10344827586207,"inland"
"67",-2742.09059340643,-0.000338495033447295,-5.32249543141461e-05,-1.53951692485801e-10,100,2.53521126760563,"coast"
"68",-1342.09059340643,-0.00564639452849125,-0.00436490285549951,-1.25249616930793e-08,1500,2.53521126760563,"middle"
